state,county,total_population_20,incarcerated_20,total_population_10,incarcerated_10,total_population_00,incarcerated_00,FIPS,historical_90,slow_90,noaction_90,rapid_90,historical_100,slow_100,noaction_100,rapid_100,historical_105,slow_105,noaction_105,rapid_105,historical_127,slow_127,noaction_127,rapid_127
AL,Autauga County,58805,142,54571,181,43671,100,01001,83,130,156,123,15,65,107,55,3,34,80,26,0,1,11,0
AL,Baldwin County,231767,1229,182265,1050,140415,863,01003,96,142,166,135,13,72,117,60,2,33,87,24,0,1,9,0
AL,Barbour County,25223,2517,27457,3044,29038,2464,01005,85,133,159,126,14,64,108,55,3,32,79,25,0,1,9,0
AL,Bibb County,22293,1856,22915,2007,20826,900,01007,83,128,153,121,17,68,107,58,4,37,82,29,0,1,12,1
AL,Blount County,59134,91,57322,129,51024,120,01009,65,114,142,107,9,53,94,45,2,26,69,20,0,0,9,0
AL,Bullock County,10357,1580,10914,1528,11714,1397,01011,85,132,158,125,15,65,108,56,3,34,80,26,0,1,10,0
AL,Butler County,19051,54,20947,38,21399,31,01013,94,140,165,133,19,74,117,63,5,39,88,30,0,1,12,0
AL,Calhoun County,116441,1024,118572,469,112249,357,01015,66,116,143,109,10,54,96,46,2,28,71,21,0,0,9,0
AL,Chambers County,34772,126,34215,137,36583,173,01017,72,121,148,114,10,54,98,46,2,26,70,20,0,0,8,0
AL,Cherokee County,24971,115,25989,80,23988,74,01019,64,113,140,106,10,53,94,45,2,28,69,21,0,1,10,0
AL,Chilton County,45014,148,43643,171,39593,148,01021,79,126,152,119,14,62,104,53,3,32,77,25,0,1,10,0
AL,Choctaw County,12665,0,13859,36,15922,33,01023,98,141,164,134,22,78,118,67,6,43,92,34,0,2,14,1
AL,Clarke County,23087,88,25833,100,27867,59,01025,98,143,166,136,20,76,119,65,6,40,90,31,0,2,12,1
AL,Clay County,14236,83,13932,76,14254,44,01027,57,110,139,103,6,45,89,37,1,21,62,15,0,0,6,0
AL,Cleburne County,15056,90,14972,91,14123,26,01029,54,107,137,100,6,44,87,36,1,21,61,15,0,0,6,0
AL,Coffee County,53465,305,49948,241,43615,356,01031,91,138,164,131,16,69,113,59,4,34,83,26,0,1,10,0
AL,Colbert County,57227,21,54428,77,54984,75,01033,69,116,141,110,12,60,98,52,3,34,75,27,0,1,14,1
AL,Conecuh County,11597,46,13228,45,14089,0,01035,95,141,166,134,18,74,117,62,4,37,88,29,0,1,11,0
AL,Coosa County,10387,250,11539,80,12202,343,01037,75,123,151,116,12,59,101,50,2,30,75,23,0,1,9,0
AL,Covington County,37570,72,37765,172,37631,125,01039,98,142,167,136,18,75,117,64,4,38,88,29,0,1,11,0
AL,Crenshaw County,13194,0,13906,0,13665,14,01041,92,138,164,132,17,72,115,61,4,37,86,29,0,1,11,0
AL,Cullman County,87866,258,80406,290,77483,102,01043,62,113,140,106,7,50,92,42,1,24,67,18,0,0,8,0
AL,Dale County,49326,62,50251,72,49129,56,01045,90,138,164,131,15,67,112,57,3,33,82,25,0,0,9,0
AL,Dallas County,38462,6,43820,0,46365,0,01047,91,136,160,129,19,72,113,62,5,39,86,30,0,1,13,0
AL,DeKalb County,71608,277,71109,204,64452,65,01049,48,101,130,93,5,43,84,35,1,21,61,15,0,0,7,0
AL,Elmore County,87977,5286,79303,5025,65874,4687,01051,81,128,155,121,14,63,105,54,3,33,78,25,0,1,10,0
AL,Escambia County,36757,1826,38319,3051,38440,1535,01053,98,143,168,137,18,75,119,63,4,38,89,29,0,1,11,0
AL,Etowah County,103436,446,104430,784,103459,405,01055,63,113,140,106,9,52,94,44,2,27,69,20,0,0,9,0
AL,Fayette County,16321,80,17241,62,18495,53,01057,76,122,147,115,15,63,102,54,3,35,77,28,0,1,13,1
AL,Franklin County,32113,86,31704,88,31223,75,01059,65,113,140,107,11,56,95,48,2,31,71,24,0,1,11,0
AL,Geneva County,26659,74,26790,53,25764,40,01061,90,138,164,131,14,66,111,55,3,31,80,23,0,0,8,0
AL,Greene County,7730,23,9045,0,9974,22,01063,91,134,157,127,21,75,113,65,6,44,88,35,0,2,15,1
AL,Hale County,14785,18,15760,167,17185,107,01065,92,135,159,128,22,76,114,65,6,43,89,35,0,2,15,1
AL,Henry County,17146,22,17302,55,16310,23,01067,90,138,164,131,16,68,112,58,3,33,82,26,0,1,9,0
AL,Houston County,107202,152,101547,553,88787,383,01069,96,142,167,136,17,72,115,62,4,35,86,28,0,1,9,0
AL,Jackson County,52579,142,53227,150,53926,105,01071,52,103,132,97,6,46,87,39,1,24,63,18,0,0,9,0
AL,Jefferson County,674721,2499,658466,3008,662047,3403,01073,76,123,148,116,14,62,102,53,3,33,76,26,0,1,11,0
AL,Lamar County,13972,21,14564,52,15904,46,01075,78,124,149,118,17,66,104,57,5,38,79,30,0,2,14,1
AL,Lauderdale County,93564,261,92709,144,87966,214,01077,65,113,140,107,10,57,95,49,2,31,72,25,0,1,13,1
AL,Lawrence County,33073,111,34339,108,34803,82,01079,67,115,142,108,10,57,96,49,2,31,73,24,0,1,12,0
AL,Lee County,174241,336,140247,331,115092,232,01081,70,119,147,113,9,51,95,43,1,24,66,18,0,0,7,0
AL,Limestone County,103570,2567,82782,2576,65676,2186,01083,61,110,137,103,8,52,92,44,1,27,68,21,0,0,11,0
AL,Lowndes County,10311,125,11299,34,13473,30,01085,90,135,161,129,18,71,112,60,4,37,84,29,0,1,12,0
AL,Macon County,19532,42,21452,51,24105,38,01087,83,129,156,123,15,64,106,55,3,34,78,26,0,1,10,0
AL,Madison County,388153,847,334811,1012,276700,885,01089,57,107,135,100,6,48,89,40,1,24,65,18,0,0,9,0
AL,Marengo County,19323,46,21027,69,22539,20,01091,94,138,161,131,21,75,115,65,5,42,89,33,0,2,14,1
AL,Marion County,29341,398,30776,557,31214,595,01093,69,117,143,110,12,58,97,50,3,32,73,25,0,1,12,1
AL,Marshall County,97612,289,93019,335,82231,218,01095,59,109,137,102,7,49,91,42,1,25,66,19,0,0,9,0
AL,Mobile County,414809,1759,412992,1328,399843,1321,01097,93,141,166,134,14,70,116,58,3,33,86,24,0,1,9,0
AL,Monroe County,19772,76,23068,55,24324,47,01099,96,141,165,134,19,74,117,62,5,38,88,29,0,1,11,0
AL,Montgomery County,228954,3196,229363,3752,223510,2605,01101,90,135,161,129,18,71,112,61,4,38,85,30,0,1,12,0
AL,Morgan County,123421,1332,119490,1205,111064,721,01103,62,111,139,105,8,52,93,44,1,27,69,21,0,0,10,0
AL,Perry County,8511,0,10591,17,11861,15,01105,85,131,156,124,17,68,108,58,4,37,82,28,0,1,12,0
AL,Pickens County,19123,1612,19746,170,20949,3,01107,88,130,154,124,21,73,110,64,6,44,87,35,0,2,16,1
AL,Pike County,33009,0,32899,2,29605,84,01109,89,136,162,130,16,69,113,59,4,35,84,28,0,1,11,0
AL,Randolph County,21967,57,22913,48,22380,67,01111,59,112,141,105,7,45,89,37,1,21,62,15,0,0,6,0
AL,Russell County,59183,190,52947,291,49756,295,01113,82,129,155,122,15,63,105,54,3,32,77,25,0,1,9,0
AL,Shelby County,223024,1233,195085,881,143293,168,01117,79,125,151,118,14,63,104,54,3,34,78,26,0,1,11,0
AL,St. Clair County,91103,1300,83593,1634,64742,1441,01115,69,117,144,111,11,56,97,48,2,29,72,22,0,0,10,0
AL,Sumter County,12345,0,13763,0,14798,25,01119,93,136,160,129,22,77,116,67,6,45,91,36,0,2,15,1
AL,Talladega County,82149,1627,82291,1989,80321,2342,01121,78,125,151,118,15,65,105,56,3,35,79,28,0,1,12,0
AL,Tallapoosa County,41311,113,41616,137,41475,112,01123,75,124,151,117,12,59,101,50,3,30,74,23,0,1,9,0
AL,Tuscaloosa County,227036,600,194656,615,164875,484,01125,84,128,152,121,18,69,107,59,4,39,83,31,0,1,14,1
AL,Walker County,65342,297,67023,309,70713,266,01127,73,120,146,113,13,60,100,52,3,32,75,25,0,1,11,0
AL,Washington County,15388,47,17581,67,18097,0,01129,101,146,169,139,21,78,121,67,5,41,92,32,0,1,12,0
AL,Wilcox County,10600,103,11670,38,13183,163,01131,94,138,162,131,20,73,115,62,5,39,86,30,0,1,12,0
AL,Winston County,23540,70,24484,56,24843,74,01133,62,112,140,105,8,52,93,44,1,26,68,20,0,0,9,0
AR,Arkansas County,17149,93,19019,80,20749,67,05001,83,126,149,120,21,73,108,65,7,46,86,39,0,4,18,2
AR,Ashley County,19062,0,21853,80,24209,45,05003,96,138,160,132,27,84,119,76,10,54,96,46,0,4,21,2
